hash,malware_family,source
01c47b5968afdc923ec354bc78cfeb490d3733f8dab819eb610a6678e3d24fdb,AgentTesla,abuse_ch
02114391e08d4e5e5f201dfc840af578b93f344e6a7edfd3632799ab353a4a88,AgentTesla,adrian__luca
02bfaf905d0982dc223aa84d9d0fb12ff84250f8befbb636b478f135867476ec,AgentTesla,adrian__luca
03fd8790dd182915e617edd7273911a0bf068ad55c83bcf042771975cd6cb85c,AgentTesla,adrian__luca
052b69a9f018e39d1a7a69c0a7c6a5dd7963300486c28374d1ecd79399e52197,Gozi,JAMESWT_WT
08039481f17de1a125763d6dadc9a91615fa027ad42a4f42d886b94063a94822,Emotet,Cryptolaemus1
080672b68abf1f03ace8f820214e8fe1efd2b9d84e03f79658b0351e78c8aa1c,Heodo,TeamDreier
0a34ca695a121a9757c72fc0b78101eefba974896da6913d87c2a0575d15bc9f,IcedID,abuse_ch
0b8682fe1ee1d9a8ad485452179e9c8651c682660591077e0fb7077e89af81bd,Emotet,zbetcheckin
0cad204b7b1977deedab017724f427459c001618f6566015ccde93a52dd8f470,AgentTesla,Vip5676
0cfcd3719293674e15cfdc5670268d92b6e179cf1b9d25c668d78d10450663bc,AgentTesla,adrian__luca
0e70671889e441e9926c6a731ce722797526a7ebf785d4c8cd5fa6ae671c8924,Emotet,Victas
0ff83c37f9a4581457831ecbe06fa4907cc6ab864e9e0597f55cd1fc9f2a1fd3,AgentTesla,cocaman
10a713df3a815221a0a3a82b1a400c983db8788a02764d3cc02202c54d01a7ba,AgentTesla,adrian__luca
183c72638416f3649f30da841ff7a88d29f6cf22f393db7a96407e939b9c6647,AgentTesla,adrian__luca
18bdc6654a91219d11b56059df0aa5bdce67e8db3faade250c5d40dba9cf0e9b,AgentTesla,adrian__luca
1966fd6de34896a888f9477cf500cd15360e7c7b423727461f1143681b68bfc1,AgentTesla,adrian__luca
1a6c985d39f74dd51d215804227b08c912d884d864d1dd487ad4c6ee0826cce5,AgentTesla,adrian__luca
1abd799ba4bfee25737243568ae048c0b50f1892b41d7e0f7b3c3af8410babde,Heodo,JAMESWT_WT
1f2f0fcf6f0870dd3ad85410d6a94a840c9ab5d89a003288ec5c77aae0a0d5f4,WikiLoader,pr0xylife
22a1315d09e163782edf1fe15c4d1de97c4c960538020872a5ba9b806b4cb0be,AgentTesla,adrian__luca
2586d4d0fb6798a84320492847b839815b787970c9f279acf1d1436780c40a3a,TrickBot,anonymous
268d8d0773f374ca2115ea390f21c9f8b35b3f26b6a5785597260ff6b7ec8f8e,RedLineStealer,pgiavaroto
2874f19d385565b1c5d5e630163aef1d87280af5de2cba4a583ab683768df1f4,Emotet,zbetcheckin
2912c0b2d23f13bbb1cf8410e65cc6649513325b3ea27af0c926648556ae1c4f,AgentTesla,adrian__luca
297659c9c082dc0a4b302a2d13189c9f85b5795c79ca3526cbce006b29cb1690,AgentTesla,adrian__luca
2cde3134c396d62c8bf6909c30685ad6b9dee9ce6cd6a5aace7f952252c1bef9,AgentTesla,cocaman
2eabb43086cb08d8bc852aeef8b71f6805ee050f51de63c84a9a03f92de3635a,all_7_families,ankit_anubhav
2f62581d385038278e1979535773d6143f03e8f09572e644cefd6b5d6e571af5,AgentTesla,adrian__luca
339d09a73181fe54bc53b60e1133fc8a344b4a2174296fc5a80a4c5de47fa2ad,Loki,adrian__luca
377d60cd60f12500b9441db24aafbdfa4d9ee82e7c89ddd679e1a962b1119249,all_7_families,JAMESWT_WT
38812a89fadd630ef909720c4b5437769769eb643e9a6e2bbb8d964ffa41cb4d,GoziGozi,NIXLovesCooper
392a7193b12c6795fb239cff20c5310e1b3b4a3a24538b17d94870a97441cfe8,Loki,threatcat_ch
396e6e07928abd8a61b6cca0fd3b7cd09cf303c3211ec1333fc820159de8c42c,Emotet,jstrosch
39b544bd9338d4f01de2998d00ef6a56a4613001cda5289b8294049d9d8933fc,Heodo,JAMESWT_WT
3b63193b80192cb258d434e8e9ad61f221c25c6603a6c92fc6ccee5c18f7dfd7,Emotet,anonymous
3d9c975f79b08957f18c83aead4d31e37ee1939046f9f7b946ef8516293aa1f2,Tinba,hR0m454
3e2603ea152285901054c1c981a605ea909d112960a3020d2a20baf921d6dc78,AgentTesla,adrian__luca
3ea76059e7a7c8562249727bcc3c9644e9d22888f2cfe2967b60ae3cb366bed3,AgentTesla,adrian__luca
3f93bbbd31f1ca5627326b08e3fdffeed857a43e0800fb2e0503065adf42be30,Dridex,zbetcheckin
405c61f58771683f3c8091373a7ed4012885a09407300913aec1d8121b624f78,TrickBot,SecuriteInfoCom
410c7d29d10c93d12fc6c703048638e5462a0323ba929f05dc3a1f0f5c6341db,AgentTesla,adrian__luca
412cbc3fdc5a421bccb74b2b0a11e6c058019ee17400dcc57f27dea117fe475f,AgentTesla,adrian__luca
417ea7dfbd978d363746278088a7f3ed22d864d381ebdc6a7403b5003230e9da,AgentTesla,adrian__luca
41eb7384174f26a3e485574f75ae001a13301243849be3f6f840c70a166516a2,Loki,abuse_ch
42122a70abbf6b402febfb0a8ae1ccda5b1ef2d50216fa116f1821b42edae042,Adware.PushWare,NIXLovesCooper
435e34ae36e41d9bc0bc9ae051ef42c21721a826daa55d243eec6c007b8bcb35,TrickBot,zbetcheckin
45ec0c961ac727193f8220e347e3556e1df23581e78951f9ebe6ca5d6b074680,AgentTesla,adrian__luca
46a2cf127f00f21832a65d0a7a15b0192176472f5c0e8fe1e1f9e5fd9790fa11,AgentTesla,adrian__luca
4a9458d2d8263fd903455772a0f25754dfd384552cf03ef4b35987db89928f7f,AgentTesla,adrian__luca
4fb203958dc23dba23634f6f5356931bfc221e22bed0a184cd73153fca697a51,Heodo,atomiczsec
50a91256ad1710681ad272b85b6eca0c4ada089ef954b4f48e18e188c482fc59,AgentTesla,adrian__luca
552f648155ab5a6898cb59c0e31095baa986db5753537a6a9cf0bec65edfd937,AgentTesla,adrian__luca
55c2b8273385d3a14d5fbcca6209a31a040238c656b7f45f217469f412d4e28c,TrickBot,abuse_ch
