hash,family,source,status,detection_ratio,first_seen,last_seen,processes_count,files_written_count,files_deleted_count,registry_keys_set_count,dns_lookups_count,ip_connections_count,http_requests_count,mutexes_count,mitre_techniques_count,mitre_techniques,collected_date
818c482b0d6be6f5c9449c76d79edf4e038fe639267b2da83675e0c5b723cea7,Gozi,JAMESWT_WT,success,16/78,1696549101,1721357023,0,0,0,0,0,0,0,0,0,,2025-11-04T03:17:56.679772+00:00
68bd5e4a0955b5d2b89751532443e0c42ae2974d6fe9000fd4ae058a66e7240f,Loki,threatcat_ch,success,58/76,1746174671,1756451219,0,0,0,0,0,0,0,0,0,,2025-11-04T03:18:29.309932+00:00
68d60ea2de32a82a0e8675af68237a5184bd242ea3dc2593aef598bfa546eca5,Dridex,SecuriteInfoCom,success,49/76,1640185375,1741669328,0,0,0,0,0,0,0,0,0,,2025-11-04T03:19:02.200305+00:00
fe135d63b84d72468b5e913b2b59ffd1e52911de7438d7c12874ae846639ae4e,AgentTesla,abuse_ch,success,28/76,1759905954,1761216318,0,0,0,0,0,0,0,0,0,,2025-11-04T03:19:34.728239+00:00
ae44cfb5daa272b11b29f5f69272d36aec1c24777e47b8809f1f14cea6e8251a,TrickBot,zbetcheckin,success,41/72,1638929433,1639109457,0,0,0,0,0,0,0,0,0,,2025-11-04T03:20:07.334859+00:00
bd442895a10c0b01daa543174c33d31ed05b905af2c6f5ab56c709893b1eed34,Heodo,SecuriteInfoCom,success,61/76,1699632179,1754362483,0,0,0,0,0,0,0,0,0,,2025-11-04T03:20:40.311522+00:00
6d487dffb68cd5ba6d6f03383b00c3c942ce8bebc8ef3bdd10ddf240bd532f2f,all_7_families,JAMESWT_WT,success,13/72,1630733936,1631517919,0,0,0,0,0,0,0,0,0,,2025-11-04T03:21:13.228502+00:00
d120c25f77b8dfe9182aa2ac5ce44b8ca76ab77e12b65f98620069c07cbf8ccd,Emotet,obfusor,success,59/77,1689238719,1742136460,0,0,0,0,0,0,0,0,0,,2025-11-04T03:21:46.030219+00:00
b7f82a61221f1ec4dc8d84b7800e3fa5228392ebd23908b147d74ce3f79d350e,Adware.PushWare,NIXLovesCooper,success,24/76,1701497619,1757457225,0,0,0,0,0,0,0,0,0,,2025-11-04T03:22:19.046008+00:00
e79037d299e1e7f1c0168861557da875e5506e2b0771920a9f1e6f6557b16b3d,RedLineStealer,JAMESWT_WT,success,42/76,1758210732,1761631585,0,0,0,0,0,0,0,0,0,,2025-11-04T03:22:51.453615+00:00
d0f5b9d6db0482d92ec833a86453691ac61301dd66e03d3bcf304c72e4d9bb9e,WikiLoader,JAMESWT_WT,success,46/78,1697128986,1715257753,0,0,0,0,0,0,0,0,0,,2025-11-04T03:23:24.371658+00:00
d25a928416c3614b40c4c57447023f53fa5cc4d4bd5dee5fc68a7e8cbc52d7cb,SilentBuilder,ffforward,success,29/76,1638378035,1757569518,0,0,0,0,0,0,0,0,0,,2025-11-04T03:23:56.860356+00:00
98f8aa235cf07d4e6fe52c1ad88fd6fcf08d08be178dfc620ab993d1eb90703c,DBatLoader,lowmal3,success,60/76,1757689170,1760249055,0,0,0,0,0,0,0,0,0,,2025-11-04T03:24:29.588393+00:00
a610ef0e37af408aa49c7296d238796c57ac45aa8b0809ce72bc4d75b23fdf4f,AsyncRAT,GDHJDSYDH1,success,28/76,1759311518,1762162589,0,0,0,0,0,0,0,0,0,,2025-11-04T03:25:02.580601+00:00
a2003640721f7d056e296c6c84dd78308bbfd2ebf9cf615e7d39c86071414f02,5050,JAMESWT_WT,success,26/76,1679393832,1759988690,0,0,0,0,0,0,0,0,0,,2025-11-04T03:25:35.638209+00:00
0a34ca695a121a9757c72fc0b78101eefba974896da6913d87c2a0575d15bc9f,IcedID,abuse_ch,success,28/76,1679643833,1735365961,0,0,0,0,0,0,0,0,0,,2025-11-04T03:26:08.575475+00:00
c0de9777e20295b2bd83ebfbcb301de221b30ce723e0bae4c3cc013a232e5cc7,Vidar,iamaachum,success,0/76,1743788752,1761734139,0,0,0,0,0,0,0,0,0,,2025-11-04T03:26:41.176461+00:00
38812a89fadd630ef909720c4b5437769769eb643e9a6e2bbb8d964ffa41cb4d,GoziGozi,NIXLovesCooper,success,25/78,1701497924,1721342391,0,0,0,0,0,0,0,0,0,,2025-11-04T03:27:13.566451+00:00
8f8abfa6717ad2043a295d16b5aeeac3e7084b7994f6eec8351e18a9a3c59997,Gamaredon,e24111111154168,success,33/75,1712935558,1761891645,0,0,0,0,0,0,0,0,0,,2025-11-04T03:27:46.204163+00:00
3d9c975f79b08957f18c83aead4d31e37ee1939046f9f7b946ef8516293aa1f2,Tinba,hR0m454,success,64/76,1750532090,1754838193,0,0,0,0,0,0,0,0,0,,2025-11-04T03:28:19.890871+00:00
cbd4c6e8392f9fabb91d286ea1364aabe65ac86ffc177d2fd6a7990c971a9011,Expiro,cocaman,success,43/76,1754692086,1754902748,0,0,0,0,0,0,0,0,0,,2025-11-04T03:28:52.982033+00:00
b137b67d9d570e4c1c8998a7ad2890e1f9c1376658b026fad61d9a79e288e8c1,GuLoader,smica83,success,31/76,1757882032,1762067138,0,0,0,0,0,0,0,0,0,,2025-11-04T03:29:25.637173+00:00
9b60ef3f360061599935dcbcf4aa96f13b4121f7ad88d5b8cea0cecabc2281a6,N-W0rm,TeamDreier,success,22/76,1647140128,1667812628,0,0,0,0,0,0,0,0,0,,2025-11-04T03:29:58.846671+00:00
579bd737d21c98e0b59436ef8d2254042f45792931fb7f4de0e1f8a8c45572e3,Gozi,JAMESWT_WT,success,28/76,1679576701,1759904226,0,0,0,0,0,0,0,0,0,,2025-11-04T03:30:31.247252+00:00
