hash,family,source,status,detection_ratio,first_seen,last_seen,processes_count,files_written_count,files_deleted_count,registry_keys_set_count,dns_lookups_count,ip_connections_count,http_requests_count,mutexes_count,mitre_techniques_count,mitre_techniques,collected_date
a20e438a9763f8d6ede0bd1318a53e57994325c53b5fad3dbd6d7430f8472d94,AgentTesla,cocaman,success,56/76,1759305298,1760201855,0,0,0,0,0,0,0,0,0,,2025-11-20T23:11:17.912845+00:00
5d4ad6640ec2846c1dfb439108cfad160beb850a541ec00980c20fc36e0944dc,Emotet,SecuriteInfoCom,success,2/76,1356233608,1759035678,0,0,0,0,0,0,0,0,0,,2025-11-20T23:11:51.213759+00:00
b1183c3ff8b058d34e49369d108f00e9dfcc1e29426bb6e3a4db4eb2c5e7aecd,Heodo,anonymous,success,53/74,1668189346,1684694227,0,0,0,0,0,0,0,0,0,,2025-11-20T23:12:24.498681+00:00
bc977de2c812009947e6ae3fbcda2e1770b9b94789c2b486187c7a8af6d2f3ce,all_7_families,malware_traffic,success,43/76,1631544031,1755090577,0,0,0,0,0,0,0,0,0,,2025-11-20T23:12:57.952202+00:00
ae44cfb5daa272b11b29f5f69272d36aec1c24777e47b8809f1f14cea6e8251a,TrickBot,zbetcheckin,success,41/72,1638929433,1639109457,0,0,0,0,0,0,0,0,0,,2025-11-20T23:13:31.372573+00:00
e19ae4ea423a7210e27c0c58deb9ae5a77d1d9c8a4020051210290c53e69bebf,Dridex,SecuriteInfoCom,success,56/76,1639767863,1741673235,0,0,0,0,0,0,0,0,0,,2025-11-20T23:14:04.132799+00:00
fe5bcaeebd1b1ec308d5b4315f78912801ca049ec1293e632ad06d71f72e56d3,Loki,Racco42,success,67/76,1731616241,1755443244,0,0,0,0,0,0,0,0,0,,2025-11-20T23:14:37.277217+00:00
f59b112154fa7b5d054be2543b3ece90ba0c1eb828edc2636602368f2213aadc,Gozi,viuleeenz,success,58/76,1688494867,1755223283,0,0,0,0,0,0,0,0,0,,2025-11-20T23:15:10.296264+00:00
d88037ea620fb8de5a48985676340ccfc8c79e508e52e6ca297edd3972ae9d43,Adware.PushWare,NIXLovesCooper,success,27/76,1701496753,1756900668,0,0,0,0,0,0,0,0,0,,2025-11-20T23:15:43.680940+00:00
b45e6199e46ebce59b94cc7116b7525720da356e007c15c7f79f9d3c7b0dd853,RedLineStealer,fabiodemartin,success,59/76,1758536225,1761113116,0,0,0,0,0,0,0,0,0,,2025-11-20T23:16:16.253411+00:00
